model,term,estimate,conf_low,conf_high,p_value
judge_score_ols,C(celebrity_industry)[T.Sports Broadcaster],-0.3294793833075452,-1.1127288786114844,0.45377011199639394,0.40953646873468597
judge_score_ols,C(celebrity_industry)[T.TV Personality],-0.5522652733231641,-0.7015366823659841,-0.40299386428034417,5.216387884749269e-13
judge_score_ols,celebrity_age_during_season,-0.04549593744202493,-0.04972837723782441,-0.04126349764622545,1.5205919751536604e-91
fan_support_ols,Intercept,0.13791477415991166,0.13123481249022229,0.14459473582960103,5.467117594309913e-269
fan_support_ols,C(celebrity_industry)[T.Astronaut],0.0072398179480915315,-0.05129816345175176,0.06577779934793482,0.8083880074174155
fan_support_ols,C(celebrity_industry)[T.Athlete],3.6385570173665116e-06,-0.004901209879691754,0.004908486993726487,0.9988394090204411
fan_support_ols,C(celebrity_industry)[T.Beauty Pagent],-0.033633926430500775,-0.09188277088333982,0.024614918022338263,0.2576158700994252
fan_support_ols,C(celebrity_industry)[T.Comedian],-0.0014754476120951631,-0.013321585857746898,0.010370690633556574,0.8070610706661181
fan_support_ols,C(celebrity_industry)[T.Con artist],-0.045863527647288946,-0.12815223710042994,0.03642518180585207,0.2745215095721831
fan_support_ols,C(celebrity_industry)[T.Conservationist],-0.015281403553710764,-0.044631958736681306,0.014069151629259778,0.3073591488305127
fan_support_ols,C(celebrity_industry)[T.Entrepreneur],-0.01020127935952662,-0.03246816623202691,0.012065607512973671,0.369058671445575
fan_support_ols,C(celebrity_industry)[T.Fashion Designer],-0.01493949148241943,-0.0564521782033677,0.026573195238528843,0.4804290623774883
fan_support_ols,C(celebrity_industry)[T.Fitness Instructor],-0.018331235555177027,-0.047575056388531246,0.010912585278177192,0.21910609318917607
fan_support_ols,C(celebrity_industry)[T.Journalist],-0.017759549694125742,-0.10018602313092186,0.06466692374267037,0.6726845984316039
fan_support_ols,C(celebrity_industry)[T.Magician],-0.02940942006380817,-0.11171685941103848,0.05289801928342214,0.48356379545129025
fan_support_ols,C(celebrity_industry)[T.Military],-0.0037288084036475218,-0.03753956604108026,0.03008194923378522,0.8287958088997993
fan_support_ols,C(celebrity_industry)[T.Model],-0.01200184674224292,-0.023267894906698318,-0.000735798577787522,0.03681137365315264
fan_support_ols,C(celebrity_industry)[T.Motivational Speaker],0.01356202855577152,-0.015686469040212443,0.042810526151755485,0.3632920759549709
fan_support_ols,C(celebrity_industry)[T.Musician],0.0023794103731056334,-0.028875838814227506,0.033634659560438776,0.8813382939179397
fan_support_ols,C(celebrity_industry)[T.News Anchor],-0.009829167489637147,-0.03202858648482938,0.012370251505555086,0.3853349275808663
fan_support_ols,C(celebrity_industry)[T.Politician],-0.0059844541854910316,-0.031072851975490767,0.019103943604508702,0.6399920103229297
fan_support_ols,C(celebrity_industry)[T.Producer],-0.017387869749861437,-0.04497533868550757,0.010199599185784697,0.21658849958824983
fan_support_ols,C(celebrity_industry)[T.Racing Driver],0.001314133109694261,-0.014809627645167947,0.01743789386455647,0.8730297309869348
fan_support_ols,C(celebrity_industry)[T.Radio Personality],-0.015574306071375534,-0.03858450772772673,0.007435895584975663,0.18454196607634293
fan_support_ols,C(celebrity_industry)[T.Singer/Rapper],-0.0020936140480423363,-0.007592428339231736,0.003405200243147063,0.45535895774459667
fan_support_ols,C(celebrity_industry)[T.Social Media Personality],-0.025421852606099197,-0.03680078995549171,-0.014042915256706685,1.2352666647179614e-05
fan_support_ols,C(celebrity_industry)[T.Social media personality],-0.01425836692679416,-0.0435834848675942,0.01506675101400588,0.3404472732811086
fan_support_ols,C(celebrity_industry)[T.Sports Broadcaster],0.021868495141692874,-0.005725217871276202,0.04946220815466195,0.12029064062341135
fan_support_ols,C(celebrity_industry)[T.TV Personality],-0.009597251180270187,-0.01487050256302572,-0.0043239997975146535,0.00036586315461940394
fan_support_ols,celebrity_age_during_season,-0.0005112902777342566,-0.0006613250299672517,-0.0003612555255012614,2.9531007132987365e-11
survival_cox,celebrity_age_during_season,0.032650829828218236,0.02443020877373262,0.04087145088270385,6.9920394790551245e-15
survival_cox,celebrity_industry_Astronaut,0.4040696751146299,-1.5288938928845157,2.3370332431137757,0.6820158442870117
survival_cox,celebrity_industry_Athlete,0.11132561759279747,-0.1559512684992801,0.378602503684875,0.4142941766703887
survival_cox,celebrity_industry_Beauty Pagent,1.928867543748636,-0.14300727095579258,4.000742358453064,0.0680491596528797
survival_cox,celebrity_industry_Comedian,-0.1806263499415685,-0.7710363371171804,0.4097836372340434,0.5487600750343253
survival_cox,celebrity_industry_Con artist,2.449411753526366,0.31132420196441624,4.587499305088317,0.02474555445722369
survival_cox,celebrity_industry_Conservationist,-1.652593668677043,-5.4604155368683855,2.155228199514299,0.394978340256276
survival_cox,celebrity_industry_Entrepreneur,0.5139718021891823,-0.45575085504945156,1.483694459427816,0.29888897098599815
survival_cox,celebrity_industry_Fashion Designer,0.22019296954198075,-1.686971338541805,2.1273572776257663,0.8209766590228206
